,Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position (xTimes),Total Streams (Normalized and Standardized,Artist Name (factorized)
0,1,Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,1506,302.0,29,16.574004113048524,0
1,2,Juice WRLD ,Lucid Dreams,1673,178.0,20,16.218840726693244,1
2,3,Lil Uzi Vert ,XO TOUR Llif3,1853,212.0,4,14.61559820126424,2
3,4,J. Cole ,No Role Modelz,2547,6.0,0,13.728605753531795,3
4,5,Post Malone ,rockstar,1223,186.0,124,13.422218492277713,0
5,6,Travis Scott ,goosebumps,1995,4.0,0,12.542933468305652,4
6,7,The Weeknd ,Blinding Lights,1100,233.0,11,11.993352252689002,5
7,8,XXXTENTACION ,Jocelyn Flores,1673,44.0,1,11.613407203653807,6
8,9,XXXTENTACION ,SAD!,1217,133.0,6,11.52569724622679,6
9,10,Juice WRLD ,All Girls Are The Same,1681,2.0,0,11.410609687320655,1
10,11,Kendrick Lamar ,HUMBLE.,1175,152.0,67,11.265634786056797,7
11,12,Post Malone ,Circles,1172,163.0,38,11.116501769142479,0
12,13,Travis Scott ,SICKO MODE,1046,190.0,19,10.888828038731734,4
13,14,Lil Baby ,Drip Too Hard (Lil Baby & Gunna),1453,122.0,6,10.82760576924396,8
14,15,Post Malone ,Congratulations,1215,136.0,0,10.110926292170568,0
15,16,Post Malone ,I Fall Apart,1278,132.0,14,10.055504746140437,0
16,17,Glass Animals ,Heat Waves,763,248.0,34,10.009724051468222,9
17,18,Drake ,God's Plan,634,139.0,70,9.89935567065016,10
18,19,Roddy Ricch ,The Box,650,197.0,85,9.309553420863404,11
19,20,J. Cole ,MIDDLE CHILD,1119,106.0,16,8.883751231345105,3
20,21,XXXTENTACION ,Fuck Love,1406,9.0,0,8.719581323429148,6
21,22,Post Malone ,Better Now,862,72.0,8,8.530558480047185,0
22,23,Drake ,One Dance,772,187.0,103,8.352681608326828,10
23,24,Olivia Rodrigo ,good 4 u,547,187.0,53,8.349486173431716,12
24,25,Juice WRLD ,Robbery,1086,38.0,2,8.151619680131747,1
25,26,Billie Eilish ,lovely,1250,0.0,0,8.039321262921304,13
26,27,Joji ,SLOW DANCING IN THE DARK,1496,0.0,0,8.028233037543913,14
